Date,conbined_intervention_I,conbined_intervention_I_up,conbined_intervention_I_down,reported_I,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2.0,2.0,2.0,2,2.0,2.0,2.0
2020-06-05,11.761657037399514,11.767919803674722,11.75201482774613,3,11.761657037399514,11.767919803674722,11.75201482774613
2020-06-06,19.365629294048876,19.38481857450419,19.27085201788193,5,19.365629294048876,19.38481857450419,19.27085201788193
2020-06-07,27.524941240320345,27.81279610026512,26.832472166765662,15,27.524941240320345,27.81279610026512,26.832472166765662
2020-06-08,37.017843291845594,37.85113429856824,35.14648813152622,25,37.017843291845594,37.85113429856824,35.14648813152622
2020-06-09,48.190067895681906,49.890911266355616,44.486123016499036,40,48.190067895681906,49.890911266355616,44.486123016499036
2020-06-10,62.35688179362191,65.44377971402722,55.801720084506854,55,62.575127998318735,65.69692216290147,55.95312168062402
2020-06-11,79.88474603713179,84.98904282938568,69.28232682498827,67,80.3698954925684,85.57164507007329,69.58947320662406
2020-06-12,100.79808372312945,108.63259758762611,84.84728094741615,98,102.43335394766035,110.62528007274139,85.84458129488948
2020-06-13,124.68431389400303,136.0111407920743,102.0628001006126,134,129.07915214653443,141.38222321037148,104.73203130031752
2020-06-14,151.39376849297838,167.05561184174627,120.69882054273639,165,161.3377953400286,179.26983305955244,126.6832329980945
2020-06-15,177.1866915646084,197.34165395305743,138.28455994233911,180,197.29540739873687,222.17758180329722,150.2619158087819
2020-06-16,200.21727320670888,224.60618172334085,153.70514933182528,201,235.9182134137793,269.0112362693301,174.6618203447194
2020-06-17,221.43771227676234,249.97460698933193,167.60405256063905,217,280.3193091030573,323.880250380427,201.48936974808353
2020-06-18,240.33102961406956,272.75703298415385,179.7418499386196,238,329.39607479377474,385.58349891944704,229.95991326533337
2020-06-19,256.5338954464118,292.45318400247817,189.9693077866661,249,382.5923003334338,453.65411810463866,259.57475065626346
2020-06-20,270.3717395011514,309.4295718310503,198.53108095732244,262,438.46982651184527,526.4091842518194,289.4487798774554
2020-06-21,282.27731150897387,324.1888293526231,205.73065979967097,275,496.6104843899118,603.4420460344363,319.2951939854122
2020-06-22,292.0513565604141,336.3979186411666,211.54588945446233,282,553.4324311091348,679.8320480995701,347.49788006541775
2020-06-23,299.9049650210195,346.26920441871516,216.15777034163594,285,608.3164668265633,754.7175831424443,373.82709197753525
2020-06-24,306.4142974792654,354.5189219431569,219.91199332409136,302,663.8860649717386,831.839177422904,399.4506760184712
2020-06-25,311.91459040279136,361.5581198206371,223.017088591627,305,719.2825440568333,909.9507439253366,424.06711022369876
2020-06-26,316.4577384180601,367.4190992512127,225.53750506265308,322,772.4563524273933,986.0052180725814,446.93098639227406
2020-06-27,320.08168758467144,372.12198111480194,227.52322206891193,329,823.4637266356448,1060.0493174612523,468.12964211694344
2020-06-28,322.94135366433466,375.85340396281384,229.0726899137326,329,872.9562268359895,1133.0270173798551,487.97061583659735
2020-06-29,325.1865593974111,378.7987320543711,230.276158303801,331,919.2835445728437,1202.299348920194,505.95832444530686
2020-06-30,326.9738917236204,381.1586807965231,231.2214201517583,331,961.8632314172279,1266.834651300239,521.9913947519035
2020-07-01,328.39468110371814,383.0468196042493,231.96287745376736,333,1001.7508773382714,1328.2082152577718,536.5043897017614
2020-07-02,329.48107489206336,384.4962355033376,232.525762460373,334,1035.3140686324011,1380.3975081603498,548.4428675225164
2020-07-03,330.31375545196676,385.61186950054827,232.95382143877117,334,1064.097165100699,1425.7179869402012,558.4076576968982
2020-07-04,330.95155964618465,386.4699689644467,233.27918547326493,335,1088.7160559357785,1464.9511146281907,566.7111233993555
2020-07-05,331.43409900112255,387.121173294043,233.52404912632235,335,1110.0338480120663,1499.3671503417663,573.7009468246492
