Date,conbined_intervention_I,conbined_intervention_I_up,conbined_intervention_I_down,reported_I,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2.0,2.0,2.0,2,2.0,2.0,2.0
2020-06-05,11.761657037399514,11.767919803674722,11.75201482774613,3,11.761657037399514,11.767919803674722,11.75201482774613
2020-06-06,19.365629294048876,19.38481857450419,19.27085201788193,5,19.365629294048876,19.38481857450419,19.27085201788193
2020-06-07,27.524941240320345,27.81279610026512,26.832472166765662,15,27.524941240320345,27.81279610026512,26.832472166765662
2020-06-08,37.017843291845594,37.85113429856824,35.14648813152622,25,37.017843291845594,37.85113429856824,35.14648813152622
2020-06-09,48.190067895681906,49.890911266355616,44.486123016499036,40,48.190067895681906,49.890911266355616,44.486123016499036
2020-06-10,62.35688179362191,65.44377971402722,55.801720084506854,55,62.35688179362191,65.44377971402722,55.80172008450685
2020-06-11,79.88474603713179,84.98904282938568,69.28232682498827,67,79.47346828941149,84.52430621470981,68.97822101416078
2020-06-12,100.79808372312945,108.63259758762611,84.84728094741615,98,99.72062178815577,107.41743384537484,84.04689021656222
2020-06-13,124.68431389400303,136.0111407920743,102.0628001006126,134,122.9667370445649,134.0801813372496,100.77757364692027
2020-06-14,151.39376849297838,167.05561184174627,120.69882054273639,165,149.38413253461965,164.8312534360382,119.14627708841523
2020-06-15,177.1866915646084,197.34165395305743,138.28455994233911,180,176.7607008442218,197.10566238827883,137.63326597104637
2020-06-16,200.21727320670888,224.60618172334085,153.70514933182528,201,203.4978563345032,228.99175738891964,155.2197079874445
2020-06-17,221.43771227676234,249.97460698933193,167.60405256063905,217,230.26750970158184,261.3302545178291,172.3130310973106
2020-06-18,240.33102961406956,272.75703298415385,179.7418499386196,238,255.69320285826302,292.38377137829366,188.1460107533971
2020-06-19,256.5338954464118,292.45318400247817,189.9693077866661,249,279.5256220461323,321.8445331381318,202.5872718521397
2020-06-20,270.3717395011514,309.4295718310503,198.53108095732244,262,301.8280226723687,349.79223541841736,215.69183146319864
2020-06-21,282.27731150897387,324.1888293526231,205.73065979967097,275,323.90161330589444,377.9438628070148,228.14975127710215
2020-06-22,292.0513565604141,336.3979186411666,211.54588945446233,282,345.6688083247182,406.17146360235523,239.9693326734204
2020-06-23,299.9049650210195,346.26920441871516,216.15777034163594,285,366.5389672844917,433.632476641641,250.9261360539237
2020-06-24,306.4142974792654,354.5189219431569,219.91199332409136,302,387.59505532405956,461.81408193590465,261.55006868800024
2020-06-25,311.91459040279136,361.5581198206371,223.017088591627,305,408.6865834411228,490.5069952998052,271.79493375116135
2020-06-26,316.4577384180601,367.4190992512127,225.53750506265308,322,429.5829517707893,519.3984333688505,281.5713777720906
2020-06-27,320.08168758467144,372.12198111480194,227.52322206891193,329,450.43635663468746,548.71442799479,290.95811829078264
2020-06-28,322.94135366433466,375.85340396281384,229.0726899137326,329,471.568260246254,578.9417922105052,300.09376350076394
2020-06-29,325.1865593974111,378.7987320543711,230.276158303801,331,492.1345359784882,608.8186839337156,308.6727856513783
2020-06-30,326.9738917236204,381.1586807965231,231.2214201517583,331,511.7649716151191,637.7691790562747,316.583363407095
2020-07-01,328.39468110371814,383.0468196042493,231.96287745376736,333,530.9496875518829,666.5428957621075,324.0207633664436
2020-07-02,329.48107489206336,384.4962355033376,232.525762460373,334,547.5729880369374,691.7822009749432,330.2950056330607
2020-07-03,330.31375545196676,385.61186950054827,232.95382143877117,334,562.3415626610948,714.5375755942039,335.6919831506734
2020-07-04,330.95155964618465,386.4699689644467,233.27918547326493,335,575.4073668654962,734.9526961000203,340.3216418303542
2020-07-05,331.43409900112255,387.121173294043,233.52404912632235,335,587.1424332843129,753.5675773320108,344.3431164632153
