Date,conbined_intervention_I,conbined_intervention_I_up,conbined_intervention_I_down,reported_I,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2.0,2.0,2.0,2,2.0,2.0,2.0
2020-06-05,11.761657037399514,11.767919803674722,11.75201482774613,3,11.761657037399514,11.767919803674722,11.75201482774613
2020-06-06,19.365629294048876,19.38481857450419,19.27085201788193,5,19.365629294048876,19.38481857450419,19.27085201788193
2020-06-07,27.524941240320345,27.81279610026512,26.832472166765662,15,27.524941240320345,27.81279610026512,26.832472166765662
2020-06-08,37.017843291845594,37.85113429856824,35.14648813152622,25,37.017843291845594,37.85113429856824,35.14648813152622
2020-06-09,48.190067895681906,49.890911266355616,44.486123016499036,40,48.190067895681906,49.890911266355616,44.486123016499036
2020-06-10,62.35688179362191,65.44377971402722,55.801720084506854,55,62.575127998318735,65.69692216290147,55.95312168062402
2020-06-11,79.88474603713179,84.98904282938568,69.28232682498827,67,80.91962899548493,86.19973796753592,69.98569287442203
2020-06-12,100.79808372312945,108.63259758762611,84.84728094741615,98,104.15010580011821,112.60169286142892,87.06106459210675
2020-06-13,124.68431389400303,136.0111407920743,102.0628001006126,134,132.45739439574635,145.3085746163821,107.07551937420466
2020-06-14,151.39376849297838,167.05561184174627,120.69882054273639,165,166.91630605306486,185.82947408227346,130.4528364283061
2020-06-15,177.1866915646084,197.34165395305743,138.28455994233911,180,203.2022134197694,229.11097182194874,154.27186123379963
2020-06-16,200.21727320670888,224.60618172334085,153.70514933182528,201,239.29335613441944,272.7648100377273,177.21906255407248
2020-06-17,221.43771227676234,249.97460698933193,167.60405256063905,217,278.80017068146674,321.4323042438533,201.2861361716197
2020-06-18,240.33102961406956,272.75703298415385,179.7418499386196,238,320.76896185956434,373.9852201368285,225.88840609326547
2020-06-19,256.5338954464118,292.45318400247817,189.9693077866661,249,362.83240626920235,427.4434953321711,249.713415740021
2020-06-20,270.3717395011514,309.4295718310503,198.53108095732244,262,404.31491305227814,480.9803679318773,272.3928654873067
2020-06-21,282.27731150897387,324.1888293526231,205.73065979967097,275,444.31970000899463,533.3748826794189,293.5377309375582
2020-06-22,292.0513565604141,336.3979186411666,211.54588945446233,282,479.7871660065994,580.3262655481184,311.8386262157297
2020-06-23,299.9049650210195,346.26920441871516,216.15777034163594,285,511.10350752107615,622.2515651455213,327.5962189245035
2020-06-24,306.4142974792654,354.5189219431569,219.91199332409136,302,541.0203862661291,662.9280607723379,342.1241451461456
2020-06-25,311.91459040279136,361.5581198206371,223.017088591627,305,569.71163344765,702.5199308886741,355.58686926454425
2020-06-26,316.4577384180601,367.4190992512127,225.53750506265308,322,596.4296939170242,739.8763568051985,367.75058893571673
2020-06-27,320.08168758467144,372.12198111480194,227.52322206891193,329,619.8870684447404,773.0229896715247,378.1791555486351
2020-06-28,322.94135366433466,375.85340396281384,229.0726899137326,329,640.2340645783183,802.08239611622,387.01372569419965
2020-06-29,325.1865593974111,378.7987320543711,230.276158303801,331,657.804878093241,827.4486674853442,394.46322626921136
2020-06-30,326.9738917236204,381.1586807965231,231.2214201517583,331,673.5558627686889,850.48813483361,400.94707497158754
2020-07-01,328.39468110371814,383.0468196042493,231.96287745376736,333,687.6367552370853,871.3505252055274,406.5784839070007
2020-07-02,329.48107489206336,384.4962355033376,232.525762460373,334,699.2325148862395,888.6912034294058,411.12593987151706
2020-07-03,330.31375545196676,385.61186950054827,232.95382143877117,334,708.8940081287086,903.2929263982423,414.83066031291577
2020-07-04,330.95155964618465,386.4699689644467,233.27918547326493,335,716.9199803661462,915.5471115302514,417.84222723558656
2020-07-05,331.43409900112255,387.121173294043,233.52404912632235,335,723.3499847816684,925.4382605558704,420.2180690271704
