Date,conbined_intervention_I,conbined_intervention_I_up,conbined_intervention_I_down,reported_I,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2.0,2.0,2.0,2,2.0,2.0,2.0
2020-06-05,11.761657037399514,11.767919803674722,11.75201482774613,3,11.761657037399514,11.767919803674722,11.75201482774613
2020-06-06,19.365629294048876,19.38481857450419,19.27085201788193,5,19.365629294048876,19.38481857450419,19.27085201788193
2020-06-07,27.524941240320345,27.81279610026512,26.832472166765662,15,27.524941240320345,27.81279610026512,26.832472166765662
2020-06-08,37.017843291845594,37.85113429856824,35.14648813152622,25,37.017843291845594,37.85113429856824,35.14648813152622
2020-06-09,48.190067895681906,49.890911266355616,44.486123016499036,40,48.190067895681906,49.890911266355616,44.486123016499036
2020-06-10,62.35688179362191,65.44377971402722,55.801720084506854,55,62.575127998318735,65.69692216290147,55.95312168062402
2020-06-11,79.88474603713179,84.98904282938568,69.28232682498827,67,81.01860893312916,86.31673675322355,70.05123332654466
2020-06-12,100.79808372312945,108.63259758762611,84.84728094741615,98,104.61196369462323,113.15240830801051,87.36062486304938
2020-06-13,124.68431389400303,136.0111407920743,102.0628001006126,134,133.68615862186516,146.78683391783704,107.85614874350183
2020-06-14,151.39376849297838,167.05561184174627,120.69882054273639,165,169.6635882887856,189.1740442463814,132.1508154431059
2020-06-15,177.1866915646084,197.34165395305743,138.28455994233911,180,208.17159261854053,235.2248730773265,157.26946482917208
2020-06-16,200.21727320670888,224.60618172334085,153.70514933182528,201,247.24380676137267,282.6505194690903,181.9001585513173
2020-06-17,221.43771227676234,249.97460698933193,167.60405256063905,217,291.18472727254687,337.0241023422542,208.3734382012445
2020-06-18,240.33102961406956,272.75703298415385,179.7418499386196,238,338.7317653668885,396.8526475223537,235.9097475259766
2020-06-19,256.5338954464118,292.45318400247817,189.9693077866661,249,387.3208267449272,458.9505454296023,263.0514508599582
2020-06-20,270.3717395011514,309.4295718310503,198.53108095732244,262,436.4661655977037,522.8032902996388,289.4783594263374
2020-06-21,282.27731150897387,324.1888293526231,205.73065979967097,275,486.1081952549553,588.4069116579178,315.14211530769836
2020-06-22,292.0513565604141,336.3979186411666,211.54588945446233,282,532.7885063657878,650.9508673556002,338.52701034537466
2020-06-23,299.9049650210195,346.26920441871516,216.15777034163594,285,576.7986149878785,710.7747361712803,359.8587816484807
2020-06-24,306.4142974792654,354.5189219431569,219.91199332409136,302,623.046462786531,774.8652938673238,381.2838549649177
2020-06-25,311.91459040279136,361.5581198206371,223.017088591627,305,671.2715545075346,842.8597264350728,402.73150725811047
2020-06-26,316.4577384180601,367.4190992512127,225.53750506265308,322,720.9335141523003,914.0937111244159,423.94913047990724
2020-06-27,320.08168758467144,372.12198111480194,227.52322206891193,329,768.4825511890309,983.2785830662903,443.6076149830731
2020-06-28,322.94135366433466,375.85340396281384,229.0726899137326,329,813.5988248443468,1049.9016216989978,461.6411439097528
2020-06-29,325.1865593974111,378.7987320543711,230.276158303801,331,856.2763127379565,1113.8702165126044,478.1280901918405
2020-06-30,326.9738917236204,381.1586807965231,231.2214201517583,331,899.0262521130469,1179.0963910687801,493.9764217685836
2020-07-01,328.39468110371814,383.0468196042493,231.96287745376736,333,941.5748945931085,1245.1313794230848,509.138129975845
2020-07-02,329.48107489206336,384.4962355033376,232.525762460373,334,979.5793024575877,1304.9551197331523,522.2638279131507
2020-07-03,330.31375545196676,385.61186950054827,232.95382143877117,334,1014.3614303806175,1360.605270921913,533.8489873458776
2020-07-04,330.95155964618465,386.4699689644467,233.27918547326493,335,1045.959369770482,1411.9442380998778,544.018592473114
2020-07-05,331.43409900112255,387.121173294043,233.52404912632235,335,1072.980209975956,1456.3586262945244,552.4984132563892
