Date,eta1,eta2
2020-06-02,0.0,0.0
2020-06-03,0.0,0.0
2020-06-04,0.0,0.0
2020-06-05,0.0,0.0
2020-06-06,0.0,0.0
2020-06-07,0.0,0.111111111
2020-06-08,0.041666666666666664,0.19444444433333333
2020-06-09,0.063888889,0.35000000000000003
2020-06-10,0.063888889,0.32222222233333336
2020-06-11,0.08888888900000001,0.388888889
2020-06-12,0.105882353,0.4751633986666666
2020-06-13,0.13152337866666666,0.588411262
2020-06-14,0.128959276,0.65635998
2020-06-15,0.08974358966666666,0.710826211
2020-06-16,0.11965811966666666,0.6438746439999999
2020-06-17,0.14814814833333334,0.5555555556666666
2020-06-18,0.27314814833333334,0.3842592593333333
2020-06-19,0.41759259266666665,0.3212962963333333
2020-06-20,0.399074074,0.450925926
2020-06-21,0.41693121699999997,0.42116402133333325
2020-06-22,0.38359788366666664,0.3544973546666667
2020-06-23,0.5,0.3544973546666667
2020-06-24,0.5,0.3544973546666667
2020-06-25,0.5,0.3544973546666667
2020-06-26,0.5,0.3544973546666667
2020-06-27,0.5,0.3544973546666667
2020-06-28,0.5,0.3544973546666667
2020-06-29,0.5,0.3544973546666667
2020-06-30,0.5,0.3544973546666667
2020-07-01,0.5,0.3544973546666667
2020-07-02,0.5,0.3544973546666667
2020-07-03,0.5,0.3544973546666667
2020-07-04,0.5,0.3544973546666667
2020-07-05,0.5,0.3544973546666667
